Order,Lot Frontage,Lot Area,Overall Qual,Year Built,Mas Vnr Area,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Yr Sold,SalePrice
35,24,2280,7,1975,,836,836,836,1,4,0,1975,1,308,2010,120000
36,24,2280,6,1978,,855,855,1456,2,7,1,1978,2,440,2010,146000
37,102,12858,9,2009,162,1590,1627,2334,2,10,1,2009,3,751,2010,376162
38,98,11478,8,2007,200,1704,1704,1704,2,7,1,2008,3,772,2010,306000
39,83,10159,9,2009,450,1930,1940,1940,2,8,1,2010,3,606,2010,395192
40,94,12883,8,2009,256,1544,1544,1544,2,7,0,2009,3,868,2010,290941
41,95,12182,7,2005,226,1541,1541,1541,2,7,1,2005,2,532,2010,220000
42,90,11520,9,2005,615,1698,1698,1698,2,7,1,2005,3,730,2010,275000
43,79,14122,8,2005,240,1822,1822,1822,2,8,1,2005,3,678,2010,259000
44,70,10171,7,2004,168,1517,1535,1535,2,7,0,2004,2,532,2010,214000
45,100,12919,9,2009,760,2330,2364,2364,2,11,2,2009,3,820,2010,611657
46,44,6371,7,2009,128,1358,1358,1358,2,6,1,2010,2,484,2010,224000
47,110,14300,9,2003,1095,2846,2696,2696,2,10,2,2003,3,958,2010,500000
48,105,13650,8,2002,232,1671,1687,2250,2,7,1,2002,3,756,2010,320000
49,61,7658,9,2005,412,1752,1752,1752,2,6,1,2005,2,576,2010,319900
50,41,7132,8,2006,178,1370,1370,1370,2,6,1,2006,2,484,2010,205000
51,36,2628,7,2003,106,764,764,1626,2,6,0,2003,2,474,2010,175500
52,100,18494,6,2005,,1324,1324,1324,2,6,0,2005,2,430,2010,199500
53,43,3203,7,2006,14,1145,1145,1145,2,6,0,2006,2,437,2010,160000
54,43,3182,8,2004,16,1256,1269,1269,2,6,1,2004,2,430,2010,192000
55,67,13300,7,2004,,384,744,1374,2,7,1,2004,2,400,2010,184500
56,,7851,6,2002,,860,860,1960,2,8,2,2002,2,440,2010,216500
57,63,8577,7,2004,,847,847,1733,2,7,1,2004,2,433,2010,185088
58,,7750,7,2000,,384,774,1430,2,7,1,2000,2,400,2010,180000
59,,9505,7,2001,180,884,884,2035,2,8,1,2001,2,434,2010,222500
60,108,14774,9,1999,165,1393,1422,2599,2,10,1,1999,3,779,2010,333168
61,60,17433,8,1998,114,1629,1645,2475,2,7,1,1998,3,962,2010,355000
62,59,10593,7,1996,338,1720,1720,1720,2,7,1,1996,2,527,2010,260400
63,98,12256,8,1994,362,1463,1500,2622,2,9,2,1994,2,712,2010,325000
64,92,11764,8,1999,348,1152,1164,2270,2,9,1,1999,3,671,2010,290000
65,58,16770,7,1998,30,1195,1195,1839,2,7,0,1998,2,486,2010,221000
66,56,14720,8,1995,579,2033,2053,3238,2,9,1,1996,3,666,2010,410000
67,73,8987,8,2005,226,1595,1595,1595,2,6,1,2005,3,880,2010,221500
68,92,9215,7,2009,,1218,1218,1218,2,4,0,2009,2,676,2010,204500
69,72,8640,7,2009,,756,764,1547,2,7,0,2009,2,614,2010,215200
70,75,9000,8,2008,36,1566,1566,1566,2,7,0,2008,2,750,2010,262500
71,100,12552,7,2004,,991,991,1947,2,8,1,2004,2,678,2010,254900
72,84,10440,6,2005,,1468,1468,1468,2,6,1,2005,2,528,2010,271500
73,76,10142,7,2004,,956,956,2084,2,8,0,2004,2,618,2010,233000
74,70,11920,7,2004,122,831,831,1659,2,8,0,2004,2,484,2010,181000
75,,8880,7,1994,,948,1222,2110,2,8,2,1994,2,463,2010,205000
76,50,8012,6,1980,,923,923,923,2,5,1,1980,1,264,2010,143000
77,70,11218,6,1992,,1055,1055,1845,2,8,1,1992,2,462,2010,189000
78,55,7892,6,1979,,918,918,918,2,5,1,1979,1,264,2010,99500
79,50,7175,6,1984,,744,752,752,1,4,0,1984,1,264,2010,125000
80,,9453,7,1993,,996,1014,1744,2,7,0,1993,2,457,2010,194500
81,81,9672,6,1984,,1040,1097,1097,2,6,0,1986,2,480,2010,152000
82,70,8400,6,1980,130,650,888,1564,2,7,1,1980,2,476,2010,171000
83,70,9800,5,1920,,816,1012,1012,1,5,0,1920,1,429,2010,67500
84,68,8930,6,1978,,0,1318,1902,2,8,0,1978,2,539,2010,112000
85,88,11782,5,1961,,1109,1155,1155,1,6,0,1987,2,576,2010,148000
86,65,8450,5,1965,,894,894,894,1,5,1,1973,1,336,2010,138500
87,,9819,5,1967,31,882,900,900,1,5,0,1970,1,280,2010,122000
88,75,7500,5,1963,,1040,1040,1040,1,5,0,1963,1,308,2010,133000
89,,6897,5,1962,,1040,1040,1040,1,6,0,1962,1,260,2010,127000
90,39,15410,6,1974,250,1208,1494,1494,2,7,2,1974,2,461,2010,169000
91,107,10186,7,1992,,750,1061,1923,2,8,1,1992,2,564,2010,190000
92,85,13143,8,1993,504,1231,1251,2349,2,9,1,1993,3,762,2010,362500
93,88,11134,8,1992,180,1390,1402,2225,2,7,1,1992,3,713,2010,285000
94,25,4835,7,2004,,1488,1488,1488,2,6,1,2004,2,506,2010,260000
95,39,3515,7,2004,,840,840,1680,2,3,0,2004,2,588,2010,190000
96,30,3215,7,2004,120,600,600,1200,2,4,0,2004,2,480,2010,155000
97,30,3182,7,2004,,600,600,1200,2,4,0,2004,2,480,2010,151000
98,24,2544,7,2004,,600,600,1200,2,4,0,2004,2,480,2010,149500
99,24,2544,6,2005,216,600,600,1236,2,4,0,2005,2,480,2010,152000
100,,4403,7,2009,432,1470,1478,1478,2,7,1,2009,2,484,2010,222000
101,,2117,6,2000,216,756,769,1573,2,5,0,2000,2,440,2010,177500
102,,2980,6,2000,1159,756,756,1512,2,5,0,2000,2,440,2010,177000
103,24,2572,7,1999,,696,696,1416,2,6,0,1999,2,484,2010,155000
104,,2403,7,2003,,530,530,1080,2,4,0,2003,2,496,2010,147110
105,57,12853,8,2010,,1642,1418,1418,1,6,1,2010,3,852,2010,267916
106,68,7379,8,2000,,975,975,1848,2,7,1,2000,2,592,2010,254000
107,30,4420,8,1980,,728,788,788,1,3,1,1980,2,484,2010,155000
108,40,3880,8,1978,,1226,1226,1226,1,4,1,1978,2,484,2010,206000
109,,13517,6,1976,289,725,725,1479,2,6,0,1976,2,475,2010,130500
110,80,8000,7,2002,,1492,1492,1492,2,6,1,2002,2,596,2010,230000
111,,10456,6,1967,120,1829,1829,1829,2,8,0,1967,2,535,2010,218500
112,80,10791,6,1993,,1280,1280,2495,2,9,1,1993,2,660,2010,243500
113,,10603,6,1977,28,1610,1610,1610,2,6,2,1977,2,480,2010,205000
114,,18837,6,1978,,1224,1287,1891,3,7,1,1978,2,678,2010,212500
115,80,10421,7,1988,42,980,980,1714,2,7,1,1988,2,496,2010,196500
116,78,9360,6,1972,,1161,1381,1381,1,5,1,1972,2,676,2010,197500
117,80,9600,6,1971,,715,930,1645,1,7,0,1971,2,441,2010,171000
118,80,9600,5,1966,172,1232,1232,1232,1,6,0,1966,2,490,2010,142250
119,,9790,6,1963,451,1328,1328,1328,1,6,2,1963,2,528,2010,143000
120,77,9320,4,1959,,950,1225,1225,1,6,0,,0,0,2010,128950
121,90,9900,5,1966,,1209,1209,1209,1,6,0,1966,2,504,2010,159000
122,88,9680,5,1967,268,1510,1510,1510,2,6,0,1967,2,517,2010,178900
123,,10600,6,1964,,533,1131,1775,2,8,0,1964,2,480,2010,136300
124,,14112,5,1964,86,1152,1152,1152,1,6,1,1964,2,484,2010,180500
125,80,8800,6,1963,156,936,1054,1054,1,6,0,1963,2,480,2010,137500
126,98,13260,5,1962,144,1728,1728,1728,2,10,0,,0,0,2010,84900
127,68,9717,5,1950,,1078,1078,1078,1,5,0,1950,1,240,2010,142125
128,68,9724,5,1952,265,1140,1929,2461,2,7,2,1994,2,400,2010,197600
129,120,17360,6,1949,340,782,1019,1556,2,6,1,1949,2,470,2010,172500
130,50,7207,5,1958,,858,858,858,1,4,0,,0,0,2010,116500
131,55,5350,3,1940,,728,1306,1306,1,6,0,,0,0,2010,76500
132,80,9920,5,1954,110,1056,1063,1063,1,6,0,1954,1,280,2010,128000
133,80,9600,6,1955,164,1156,1520,1520,1,7,2,1955,1,364,2010,153000
134,78,7800,5,1954,200,1268,1268,1268,1,7,1,1954,1,244,2010,132000
135,75,11380,6,1966,216,1080,1128,1128,1,5,1,1966,1,315,2010,178000
136,80,11600,5,1960,361,1105,1105,2274,2,12,0,1960,2,480,2010,154300
137,,19900,7,1970,287,1947,2207,2207,2,7,1,1970,2,576,2010,180000
138,137,16492,6,1966,,1517,1888,1888,2,6,1,1966,2,578,2010,190000
139,70,8267,5,1958,,1604,1604,1604,2,8,0,1958,2,576,2010,135000
140,70,8197,7,2003,506,1480,1480,1480,2,7,0,2003,2,620,2010,214000
141,,8050,5,1959,150,1143,1143,1143,1,6,0,1959,1,308,2010,136000
142,70,10552,5,1959,,1398,1700,1700,1,6,1,1959,2,447,2010,165500
143,70,8400,5,1957,,1314,1314,1314,1,5,0,1957,1,294,2010,145000
144,73,8760,6,1959,220,1194,1194,1194,1,6,0,1959,1,312,2010,148000
145,,12160,5,1959,180,1188,1188,1188,1,6,0,1959,2,531,2010,142000
146,73,9300,5,1960,324,1268,1264,1264,1,6,2,1960,2,461,2010,167500
147,87,10725,5,1959,91,1206,1206,1206,1,6,0,1959,1,312,2010,108538
148,80,10032,6,1959,432,1244,1580,1580,1,6,2,1956,2,440,2010,159500
149,60,8382,4,1956,,832,832,1337,1,5,0,1956,1,263,2010,108000
150,60,10950,5,1952,,864,1064,1064,1,4,0,1952,1,318,2010,135000
151,119,10895,5,1955,,972,972,972,1,5,0,1955,1,305,2010,122500
152,70,13587,5,1958,,988,988,988,1,5,0,1958,1,264,2010,119000
153,68,7922,5,1953,,1057,1057,1057,1,5,0,1953,1,246,2010,109000
154,65,7898,4,1920,,576,985,985,1,4,0,1989,2,676,2010,105000
155,60,7200,5,1955,,0,827,827,1,5,1,1967,1,392,2010,107500
156,85,10200,5,1954,104,1086,1086,1086,1,6,0,1989,2,490,2010,144900
157,74,5868,5,1956,,936,936,936,1,4,0,1956,1,308,2010,129000
158,78,17503,6,1948,,912,912,1458,1,6,1,1948,1,330,2010,97500
159,64,6979,6,1980,,1056,1056,1056,0,4,0,1980,2,576,2010,144000
160,,9830,5,1959,,1063,1287,1287,1,7,1,1997,2,576,2010,162000
161,96,11275,7,1967,300,710,1898,2978,2,11,1,1961,2,564,2010,242000
162,60,8064,6,1948,,816,816,1224,1,5,0,1950,1,280,2010,132000
163,75,7500,5,1959,,1246,1246,1246,1,6,0,1959,1,305,2010,154000
164,71,8520,5,1952,,910,910,1385,2,6,0,2000,2,720,2010,166000
165,60,7200,5,1951,,900,900,900,1,5,0,2005,2,576,2010,134800
166,87,10000,6,1962,261,1116,1116,1116,1,5,0,1962,2,440,2010,160000
167,81,7635,5,1960,,1175,1175,1175,1,6,0,1960,2,484,2010,148000
168,80,9760,6,1963,218,1395,1395,1395,1,7,1,1963,2,440,2010,192000
169,70,7700,6,1966,351,756,1051,1839,1,7,1,1966,2,442,2010,155000
170,60,4800,4,1900,771,709,1157,1844,1,9,2,1900,1,240,2010,80400
171,55,8800,4,1910,,576,792,1140,1,7,0,,0,0,2010,96500
172,56,4485,5,1920,,936,936,936,1,5,1,,0,0,2010,109500
173,56,8960,5,1927,,1008,1028,1028,1,5,1,1927,2,360,2010,115000
174,69,5805,5,1957,,1347,1347,1347,1,6,0,1957,2,551,2010,143000
175,60,5790,3,1915,,840,840,1605,2,8,0,1915,1,379,2010,107400
176,47,4608,4,1945,,747,747,747,1,4,0,1945,1,220,2010,80000
177,60,7200,5,1940,294,788,804,804,1,4,2,1940,1,240,2010,119000
178,50,5500,5,1929,,926,926,1316,1,6,0,1974,2,484,2010,130000
179,50,6900,6,1938,,827,827,1251,1,6,0,1938,1,240,2010,119000
180,69,11851,5,1948,,1027,1027,1633,1,7,1,1948,1,240,2010,129000
181,,8239,5,1920,,1008,1060,1245,1,6,0,1962,1,315,2010,100000
182,68,9656,2,1923,,678,832,832,1,5,1,1928,2,780,2010,12789
183,60,8520,6,1928,,624,720,720,1,5,0,2005,2,484,2010,105900
184,60,9600,8,1900,,930,930,1566,2,7,0,1930,1,288,2010,150000
185,60,10800,5,1915,,686,966,1652,2,7,0,1961,1,416,2010,139000
186,50,9000,8,1890,,346,1157,2268,3,7,0,2003,2,624,2010,240000
187,100,9045,5,1910,,840,1128,2256,2,12,0,,0,0,2010,76500
188,90,7407,6,1957,,912,1236,1236,1,6,0,1957,2,923,2010,149700
189,60,7740,4,1910,,622,741,1363,1,6,0,1966,2,528,2010,125500
190,60,11340,4,1885,,777,1246,2290,2,11,0,1971,2,560,2010,122500
191,60,10560,6,1922,,738,868,1470,1,6,0,1970,2,624,2010,140750
192,53,5830,5,1950,,988,1030,1612,1,7,0,1950,1,363,2010,128500
193,,7793,7,1922,,1108,1160,2068,1,8,1,1928,1,315,2010,209500
194,50,5000,4,1925,,765,765,765,1,4,0,1926,1,200,2010,87000
195,50,6000,6,1939,,608,608,1132,1,5,0,1939,1,240,2010,134000
196,50,6000,6,1940,,572,848,1196,1,6,2,1973,2,576,2010,128000
197,53,6360,5,1942,300,835,955,1453,1,7,2,1942,1,240,2010,132000
198,50,6000,6,1948,,780,780,1416,1,6,0,1948,1,312,2010,139900
199,52,6240,5,1936,,528,548,1040,1,5,0,1979,2,624,2010,123900
200,52,6240,5,1930,,928,928,1536,2,7,1,1930,2,480,2010,138400
201,51,6120,6,1923,,1124,1068,1068,1,5,1,1923,1,288,2010,109500
202,50,10300,7,1921,,576,902,1710,2,9,0,1990,2,480,2010,140000
203,57,8094,4,1915,,888,888,1962,1,9,1,1915,2,572,2010,149500
204,60,12900,6,1912,,780,780,1560,1,7,0,,0,0,2010,159900
205,52,3068,6,1920,,662,662,1324,1,6,0,1920,1,180,2010,122000
206,110,8472,5,1963,,816,816,816,1,5,0,1963,2,516,2010,110000
207,70,5600,4,1930,,0,372,1092,2,7,0,,0,0,2010,55000
208,76,7630,5,1900,,360,1032,1812,2,8,1,1999,2,672,2010,140000
209,,24090,7,1940,,1032,1207,2403,2,10,2,1940,1,349,2010,244400
210,100,15263,5,1959,90,1422,1675,1675,2,8,2,1959,1,365,2010,173000
211,72,10632,5,1917,,689,725,1224,1,6,0,1917,1,180,2010,107500
212,60,9900,5,1915,,1212,1212,1392,1,6,0,,0,0,2010,100000
213,65,6001,6,1940,,600,600,919,1,5,0,1940,1,231,2010,95000
214,,6449,4,1907,,707,942,1884,1,7,0,,0,0,2010,93369
215,60,6048,5,1910,,856,936,1680,2,7,1,1910,2,450,2010,114900
216,54,6342,5,1875,,780,780,1020,1,6,0,,0,0,2010,94000
217,72,10773,4,1967,72,1832,1832,1832,2,8,0,,0,0,2010,136000
218,72,10778,4,1968,,1768,1768,1768,2,8,0,,0,0,2010,136500
219,75,11625,5,1965,,1039,1039,1039,1,6,0,1965,2,504,2010,131500
220,,11341,5,1957,180,1392,1392,1392,1,5,1,1957,2,528,2010,121500
221,70,8521,5,1967,,912,912,912,1,5,1,1974,1,336,2010,125000
222,,8246,5,1968,,1060,1060,1060,1,6,1,1968,1,270,2010,154000
223,65,7800,5,1966,47,864,892,892,1,5,0,1966,1,416,2010,137900
224,80,9364,6,1969,143,663,663,1352,1,7,0,1969,1,299,2010,158000
225,65,7832,5,1968,,864,864,864,1,4,0,1969,1,280,2010,137250
226,,7424,5,1978,,1319,1373,1373,1,5,2,1978,2,591,2010,160250
227,86,11227,5,1968,,720,720,1440,1,7,2,1968,2,480,2010,163000
228,,11616,6,1978,328,672,672,1386,2,6,1,1978,2,440,2010,158900
229,80,14000,7,1996,,1306,1306,2260,2,7,0,1996,2,533,2010,328000
230,,20062,7,1977,,1420,1483,1483,1,4,2,1977,2,690,2010,270000
231,94,9259,4,1927,,660,756,756,1,4,0,1945,2,440,2010,85000
232,60,9600,4,1950,,1067,1067,1067,2,4,0,1996,2,436,2010,128000
233,,23595,7,1979,,1332,1332,1524,0,4,1,1979,2,586,2010,260000
234,,17082,6,1978,288,1117,1117,1981,2,8,1,1978,2,522,2010,230000
235,124,18600,3,1938,,972,1052,1610,2,8,1,1938,1,480,2010,124000
236,85,10625,5,1920,,458,835,835,1,5,0,1920,1,366,2010,83000
237,65,11479,6,1950,,663,1074,1074,1,6,1,1987,1,467,2010,144500
238,68,9571,5,1956,,1144,1144,1144,1,6,0,1956,1,596,2010,129000
239,50,9350,4,1947,,756,1169,1531,1,8,1,1947,1,209,2010,127000
240,75,9525,5,1954,,1172,1172,1172,1,5,0,1954,1,366,2010,128000
241,83,10420,6,2009,,1212,1212,1212,2,6,0,2009,2,460,2010,186000
242,44,17485,7,2009,96,1508,1508,1508,1,5,2,2009,2,572,2010,308030
243,,11200,5,1964,,1250,1298,1298,2,5,0,1964,2,504,2010,114000
244,60,11100,4,1946,,0,930,930,1,6,0,1946,1,308,2010,84900
245,77,9206,6,1985,336,741,977,1732,2,7,1,1985,2,476,2010,178000
246,83,11980,7,1987,177,1433,1433,1433,1,4,2,1987,2,528,2010,270000
247,87,12361,6,1993,85,946,964,1802,2,8,1,2000,4,1017,2010,218000
248,80,9938,7,1993,246,1050,1062,1949,2,8,1,1993,2,574,2010,236000
249,73,9069,6,1992,,936,996,996,1,5,0,1992,2,564,2010,147000
250,64,10475,8,2008,72,1694,1694,1694,2,7,0,2008,3,776,2010,245350
251,64,6762,7,2006,24,1187,1208,1208,2,6,0,2006,2,632,2010,206000
252,94,10402,7,2009,,1226,1226,1226,2,6,0,2009,3,740,2010,198900
253,64,7360,7,2010,80,1222,1222,1222,2,6,0,2009,2,615,2010,187000
254,90,12376,7,1990,,1673,1699,3222,3,11,2,1990,3,594,2010,320000
255,82,14235,6,1900,,676,831,1445,2,6,0,1957,2,484,2010,138500
256,80,8816,6,1971,80,1010,1052,1052,1,6,0,1971,2,440,2010,155000
257,82,11105,5,1996,,870,965,965,1,4,0,1998,2,580,2010,159000
258,,9337,7,1997,,878,892,1692,2,8,1,1997,2,513,2010,191000
259,70,8750,6,1998,116,804,804,1682,2,7,0,1998,2,523,2010,200500
260,38,15240,5,1977,,1026,1026,1026,1,5,0,1977,1,308,2010,150000
261,,10900,6,1977,153,689,689,1392,1,6,0,1977,1,299,2010,161750
262,75,10650,5,1976,,894,894,894,1,5,0,1976,1,308,2010,128200
263,68,7480,5,1972,,876,876,876,1,5,0,1977,2,484,2010,127000
264,80,10389,8,2003,320,1978,1978,1978,2,8,1,2003,3,850,2010,318000
265,,11423,8,2001,479,1581,1601,1601,2,6,1,2001,2,670,2010,272000
266,44,9548,7,2003,223,941,941,1829,2,7,1,2003,2,613,2010,237000
267,75,9375,7,1997,,1040,1044,2098,2,9,1,1997,2,621,2010,240000
268,48,12137,7,1998,442,1649,1661,1661,2,6,0,1998,2,598,2010,224900
269,,4435,6,2003,170,848,848,848,1,4,0,2003,2,420,2010,143750
270,,4426,6,2004,169,848,848,848,1,3,0,2004,2,420,2010,143000
271,48,10635,8,2003,171,1657,1668,1668,2,8,1,2003,2,502,2010,232000
272,70,8400,7,2004,109,1473,1484,1484,2,7,0,2004,2,606,2010,213000
273,65,8773,7,2004,98,1414,1414,1414,2,6,0,2004,2,494,2010,185500
274,67,8777,3,1945,,0,640,640,1,5,0,1945,1,240,2010,84900
275,68,8842,5,1954,,381,992,992,1,6,0,1954,1,319,2010,155891
276,75,9825,5,1965,,0,1664,1664,2,8,0,,0,0,2010,100000
277,60,10044,5,1968,,1196,1196,1196,1,6,0,1968,1,336,2010,144000
278,89,11792,4,1948,,744,792,1120,1,5,0,1956,2,480,2010,64000
279,65,6305,6,1975,,1008,1096,1096,1,5,1,1975,1,352,2010,125200
280,94,7819,6,1976,,1029,1117,1117,1,6,1,1976,2,672,2010,107000
281,64,6410,4,1958,,960,960,960,1,5,0,,0,0,2010,90000
282,80,8546,4,2003,,1121,1121,1121,2,5,0,2003,2,440,2010,140000
283,52,8741,6,1945,,735,798,1487,1,7,1,1949,1,220,2010,113000
284,60,12180,4,1941,,672,672,924,1,5,0,1941,1,280,2010,80000
285,68,8562,5,1957,145,1216,1526,1526,1,7,1,1957,1,364,2010,144500
286,67,4853,5,1924,203,1107,1296,1296,2,5,1,1979,1,260,2010,104000
287,66,6858,6,1915,,806,841,1647,1,6,0,1920,1,216,2010,128000
288,45,8212,3,1914,,864,864,864,1,5,0,1938,1,200,2010,58500
289,50,5000,5,1924,,1026,1026,1691,2,6,1,1924,1,308,2010,127000
290,,7890,6,1939,,856,856,856,1,4,1,1939,2,399,2010,126000
291,60,7200,4,1967,,0,862,2650,3,10,0,,0,0,2010,160000
292,51,9839,5,1931,,894,894,1666,1,7,1,,0,0,2010,100000
293,50,9638,6,1919,,804,1699,2447,2,10,1,1969,1,336,2010,169000
294,78,10452,7,1941,371,1528,1225,2133,1,8,2,1941,1,312,2010,257500
295,78,15600,5,1950,430,1032,1102,2177,2,11,0,1950,2,484,2010,215000
296,66,9042,7,1941,,1152,1188,2340,2,9,2,1941,1,252,2010,266500
297,100,17500,7,1959,,1902,1902,1902,2,7,2,1959,2,567,2010,335000
298,85,19645,7,1994,44,423,896,1652,2,6,0,1994,2,473,2010,203135
299,35,3907,8,1989,,982,1034,1034,1,4,1,1989,2,598,2010,185000
300,35,3907,8,1989,,1191,1191,1191,2,5,1,1989,2,531,2010,162500
301,100,15602,7,1959,,1501,1801,1801,2,6,2,1959,2,484,2010,289000
302,40,5436,4,1922,,796,796,1154,1,7,0,1922,1,240,2010,125500
303,58,8154,2,1941,,480,540,540,1,4,0,1951,1,200,2010,82000
304,50,9140,6,1921,,629,727,1107,1,5,0,1950,1,625,2010,110000
305,60,7500,4,1920,,698,698,1128,1,6,0,1980,2,528,2010,68400
306,66,8712,4,1900,,859,859,1178,1,7,0,1964,1,384,2010,102776
307,66,8712,5,1952,,540,1044,1044,1,4,0,1952,2,504,2010,55993
308,66,8712,4,1896,,756,952,952,1,5,0,1896,1,330,2010,50138
309,44,3811,8,2004,186,1594,1646,1646,2,5,1,2004,2,525,2010,246000
310,85,11050,8,1998,,1049,1036,1916,2,8,1,1998,3,741,2010,254900
311,74,9620,6,1977,,1243,1285,1285,2,6,1,1977,2,473,2010,190000
312,129,9196,7,2003,,1560,1560,1560,2,7,0,2003,2,573,2010,201000
313,,12328,6,1976,335,1012,1034,1034,1,6,0,1976,3,888,2010,169900
314,,12760,6,1976,,1958,2048,2048,3,9,0,1976,2,776,2010,170000
315,,57200,5,1948,,747,1687,1687,1,7,2,1966,2,572,2010,160000
316,88,11896,7,2008,60,1336,1346,1346,2,6,1,2008,3,660,2010,220000
317,73,9803,7,2009,,1214,1214,1214,2,6,0,2010,2,520,2010,179781
318,73,9802,5,2006,,384,744,1444,2,7,0,2007,2,400,2010,174000
319,92,12003,8,2009,84,774,774,1968,2,8,1,2009,3,680,2010,269500
320,80,11316,7,2002,44,817,824,1894,2,8,1,2002,2,510,2010,214900
321,85,14191,8,2002,,967,993,1908,2,9,0,2002,2,431,2010,202900
322,89,13214,9,2008,,2002,2018,2018,2,10,1,2009,3,746,2010,378500
323,85,15300,5,1965,,1068,1264,1264,1,7,1,1965,2,528,2010,169000
324,93,10114,5,2004,,1430,1430,1430,2,7,0,2004,2,624,2010,173500
325,94,9400,6,1971,,912,912,1824,2,8,0,,0,0,2010,139000
326,,11875,5,1999,,1344,1344,1344,2,7,1,2001,2,686,2010,166500
327,,1974,4,1973,,546,546,1092,1,6,0,1973,1,286,2010,83500
328,31,2394,5,1973,,945,945,945,1,5,1,1973,1,253,2010,119500
329,36,2592,5,1976,,536,536,1112,1,4,0,1976,1,336,2010,85000
330,21,1476,4,1970,,546,546,1092,1,5,0,,0,0,2010,76000
331,21,1491,4,1972,,630,630,630,1,3,0,,0,0,2010,75500
332,21,1900,4,1970,,546,546,1092,1,5,0,,0,0,2010,88250
333,21,1890,4,1972,,546,546,1092,1,5,0,1972,1,286,2010,85500
334,50,6953,5,1971,,864,874,874,1,5,0,1971,1,352,2010,130000
335,,26142,5,1962,189,1188,1188,1188,1,6,0,1962,1,312,2010,157900
336,76,12887,5,1984,,833,833,833,1,5,0,1984,2,495,2010,149900
337,70,7700,5,1985,,1216,1216,2432,4,10,0,1985,2,616,2010,159000
338,63,10475,5,1991,,624,624,1274,1,6,0,1993,2,576,2010,136000
339,68,10544,5,1969,,864,864,1479,2,8,0,1969,1,275,2010,161000
340,76,9892,8,1994,,1679,1803,1803,2,6,2,1994,2,482,2010,285000
341,74,12961,6,1993,,1152,1152,1797,2,7,1,1993,2,616,2010,231000
342,74,13008,6,1956,,882,882,882,1,5,0,1956,1,502,2009,124500
343,85,10200,6,1974,440,1434,1434,1434,2,7,1,1974,2,528,2009,157000
